-------------------------
Dylos Logger v 3.0.0.0
Unit: DC1700 v2.09m
Date/Time: 12/05/23 21:01
-------------------------
ug/m3
-------------------------
Date/Time, PM2.5, PM10
11/13/23 18:07, 7, 27
11/13/23 18:08, 8, 27.8
11/13/23 18:09, 8.3, 26.3
11/13/23 18:10, 7.8, 30.1
11/13/23 18:11, 8.5, 28.6
11/13/23 18:12, 8.8, 28
11/13/23 18:13, 9, 28.1
11/13/23 18:14, 8.6, 30
11/13/23 18:15, 9.3, 27.5
11/13/23 18:16, 9, 28.5
11/13/23 18:17, 9, 29.8
11/13/23 18:21, 1.7, 4.8
11/13/23 18:22, 8.3, 28.1
11/13/23 18:23, 7.9, 25.2
11/13/23 18:24, 10.8, 29.3
11/13/23 18:25, 14, 35
11/13/23 18:26, 23, 41.5
11/13/23 18:27, 33, 53.4
11/13/23 18:28, 36.4, 58.3
11/13/23 18:29, 30.4, 50.2
11/13/23 18:30, 23.1, 40.4
11/13/23 18:31, 23.3, 43.3
11/13/23 18:45, 18.7, 37.5
11/13/23 18:46, 17.3, 34.6
11/13/23 18:47, 17.3, 31.9
11/13/23 18:48, 17.4, 32.4
11/13/23 18:49, 18.1, 34.8
11/13/23 18:50, 17.5, 34.5
11/13/23 18:51, 17.3, 34.6
11/13/23 18:52, 17.7, 35.4
11/13/23 18:53, 17.5, 36.4
11/13/23 18:54, 18.8, 36.1
11/13/23 18:55, 18.3, 37.2
11/13/23 18:56, 18.9, 39
11/13/23 19:20, 15.3, 35
11/13/23 19:21, 15.9, 36
11/13/23 19:22, 15.4, 35.2
11/13/23 19:23, 15.7, 39.8
11/13/23 19:24, 15.9, 39.9
11/13/23 19:25, 15.4, 43.4
11/13/23 19:26, 15.3, 42.4
11/13/23 19:27, 15.5, 42.2
11/13/23 19:28, 15.2, 41.6
11/13/23 19:29, 14.3, 38.4
11/13/23 19:30, 14.6, 38.3
11/13/23 19:31, 14.9, 42
11/13/23 19:32, 15.8, 43.7
11/13/23 19:33, 15, 40.6
11/13/23 19:34, 14.7, 38.2
11/13/23 19:35, 14.8, 38.5
11/13/23 19:36, 14.5, 35.5
11/13/23 19:37, 14.3, 35.1
11/13/23 19:38, 14.6, 33.4
11/13/23 19:39, 14.2, 34.7
11/13/23 19:40, 13.9, 32.2
11/13/23 19:41, 13.9, 33.7
11/13/23 19:42, 14, 33.4
11/13/23 19:43, 14.2, 33.1
11/13/23 19:44, 13.7, 32.9
11/13/23 19:45, 13.7, 33.5
11/13/23 19:46, 13.7, 31.7
11/13/23 19:47, 13.7, 32.3
11/13/23 19:48, 13.7, 31.7
11/13/23 19:49, 13.1, 31.1
11/13/23 19:50, 13.8, 34
11/13/23 19:56, 7.7, 39
11/13/23 19:57, 17, 57.8
11/13/23 19:58, 16.9, 54
11/13/23 19:59, 16.2, 51.7
11/13/23 20:00, 16.1, 50.8
11/13/23 20:01, 15.2, 49.8
11/13/23 20:02, 15.7, 45.9
11/13/23 20:03, 15.4, 46.4
11/13/23 20:04, 15.1, 49.7
11/13/23 20:05, 15.1, 47.6
11/13/23 20:06, 14.8, 48
11/13/23 20:43, 12.3, 37.3
11/13/23 20:44, 12, 36.7
11/13/23 20:45, 11.2, 30.7
12/04/23 09:36, 15.3, 34.8
12/04/23 09:38, 15.5, 38
12/04/23 09:43, 21.6, 52.9
12/04/23 09:45, 17.8, 41.9
12/04/23 09:47, 12.8, 33
12/04/23 09:50, 17.9, 42.3
12/04/23 09:55, 21.5, 53.2
12/04/23 09:55, 16.8, 40.2
12/04/23 09:56, 21.4, 52.2
12/04/23 10:01, 24.2, 61
12/04/23 10:05, 18.9, 39.1
12/04/23 10:07, 34.1, 85.4
12/04/23 10:10, 20.4, 59
12/04/23 10:16, 22, 56.9
12/04/23 10:19, 9.8, 26.9
12/04/23 10:20, 11.5, 25.6
12/04/23 10:21, 13.4, 30.8
12/04/23 10:22, 13.4, 31.1
12/04/23 10:23, 14.4, 33.2
12/05/23 20:55, 5.3, 11.2
12/05/23 20:56, 4.4, 9.4
12/05/23 20:57, 4.9, 9.5
12/05/23 20:58, 4.7, 9.9
12/05/23 20:59, 5, 10.2
12/05/23 21:00, 4.6, 10.2
12/05/23 21:01, 4.8, 11.8
